CodeNo,BTSName,SiteOnVoltage,SiteOnBat,DgOnLoad,HasRecord,RecordDate
IMJBL-39215,Magarmuna,82554,3846,0,1,2017-03-01
IMJBL-39215,Magarmuna,75057,11343,0,1,2017-03-02
IMJBL-39215,Magarmuna,86400,0,0,1,2017-03-03
IMJBL-39215,Magarmuna,81319,5081,0,1,2017-03-04
IMJBL-39215,Magarmuna,86400,0,0,1,2017-03-06
IMJBL-39215,Magarmuna,86400,0,0,1,2017-03-07
IMJBL-39215,Magarmuna,80939,5461,0,1,2017-03-08
IMJBL-39215,Magarmuna,72129,9814,4457,1,2017-03-09
IMJBL-39215,Magarmuna,66220,13891,6289,1,2017-03-10
IMJBL-39215,Magarmuna,73856,10082,2462,1,2017-03-11
IMJBL-39215,Magarmuna,83284,3116,0,1,2017-03-12
IMJBL-39215,Magarmuna,83653,2747,0,1,2017-03-13
IMJBL-39215,Magarmuna,81262,5138,0,1,2017-03-14
IMJBL-39215,Magarmuna,86187,213,0,1,2017-03-15
IMJBL-39215,Magarmuna,58320,27960,120,1,2017-03-17
IMJBL-39215,Magarmuna,85611,789,0,1,2017-03-18
IMJBL-39215,Magarmuna,71287,15113,0,1,2017-03-19
IMJBL-39215,Magarmuna,86400,0,0,1,2017-03-20
IMJBL-39215,Magarmuna,70484,13545,2371,1,2017-03-21
IMJBL-39215,Magarmuna,74128,9539,2733,1,2017-03-22
IMJBL-39215,Magarmuna,79091,7309,0,1,2017-03-23
IMJBL-39215,Magarmuna,51098,16489,18813,1,2017-03-24
IMJBL-39215,Magarmuna,66708,9938,9754,1,2017-03-25
IMJBL-39215,Magarmuna,73175,13225,0,1,2017-03-26
IMJBL-39215,Magarmuna,73905,9473,3022,1,2017-03-27
IMJBL-39215,Magarmuna,51733,13655,21012,1,2017-03-28
IMJBL-39215,Magarmuna,84015,2267,118,1,2017-03-29
IMJBL-39215,Magarmuna,49649,23411,13340,1,2017-03-30
IMJBL-39215,Magarmuna,47934,34019,4447,1,2017-03-31
IMJBL-39215,Magarmuna,73430,5917,7053,1,2017-04-01
IMJBL-39215,Magarmuna,68142,11899,6359,1,2017-04-02
IMJBL-39215,Magarmuna,43984,40026,2390,1,2017-04-03
IMJBL-39215,Magarmuna,49588,28588,8224,1,2017-04-04
IMJBL-39215,Magarmuna,73981,3542,8877,1,2017-04-05
IMJBL-39215,Magarmuna,76309,8229,1862,1,2017-04-06
IMJBL-39215,Magarmuna,37344,25762,23294,1,2017-04-07
IMJBL-39215,Magarmuna,66649,7171,12580,1,2017-04-08
IMJBL-39215,Magarmuna,82836,3306,258,1,2017-04-09
IMJBL-39215,Magarmuna,75123,7005,4272,1,2017-04-10
IMJBL-39215,Magarmuna,80460,4038,1902,1,2017-04-11
IMJBL-39215,Magarmuna,77181,6888,2331,1,2017-04-12
IMJBL-39215,Magarmuna,85166,1234,0,1,2017-04-13
IMJBL-39215,Magarmuna,68465,10975,6960,1,2017-04-14
IMJBL-39215,Magarmuna,82580,3481,339,1,2017-04-15
IMJBL-39215,Magarmuna,65901,14060,6439,1,2017-04-16
IMJBL-39215,Magarmuna,84999,1401,0,1,2017-04-17
IMJBL-39215,Magarmuna,86070,330,0,1,2017-04-18
IMJBL-39215,Magarmuna,86311,89,0,1,2017-04-19
IMJBL-39215,Magarmuna,82267,3297,836,1,2017-04-20
IMJBL-39215,Magarmuna,75799,7499,3102,1,2017-04-21
IMJBL-39215,Magarmuna,84503,1897,0,1,2017-04-22
IMJBL-39215,Magarmuna,69421,9331,7648,1,2017-04-23
IMJBL-39215,Magarmuna,86226,174,0,1,2017-04-24
IMJBL-39215,Magarmuna,84367,1822,211,1,2017-04-25
IMJBL-39215,Magarmuna,52868,19329,14203,1,2017-04-26
IMJBL-39215,Magarmuna,81101,4149,1150,1,2017-04-27
IMJBL-39215,Magarmuna,82055,4345,0,1,2017-04-28
IMJBL-39215,Magarmuna,86014,386,0,1,2017-04-29
IMJBL-39215,Magarmuna,86073,222,105,1,2017-04-30
IMJBL-39215,Magarmuna,84857,1543,0,1,2017-05-01
IMJBL-39215,Magarmuna,82829,3571,0,1,2017-05-02
IMJBL-39215,Magarmuna,41333,18449,26618,1,2017-05-03
IMJBL-39215,Magarmuna,74957,8932,2511,1,2017-05-04
IMJBL-39215,Magarmuna,79215,2713,4472,1,2017-05-05
IMJBL-39215,Magarmuna,77188,9212,0,1,2017-05-06
